step,mean_extrinsic_return,success_rate,mean_episode_length,tv_fraction,method,beta,seed,label
100000,0.937,1.0,14.0,0.0714285714285714,rnd,0.01,2,RND (beta=0.01)
0,0.0,0.0,200.0,0.005,rnd,0.01,3,RND (beta=0.01)
10000,0.0,0.0,200.0,0.06575,rnd,0.01,3,RND (beta=0.01)
20000,0.0,0.0,200.0,0.005,rnd,0.01,3,RND (beta=0.01)
30000,0.0,0.0,200.0,0.01,rnd,0.01,3,RND (beta=0.01)
40000,0.68205,0.75,65.1,0.0944700460829493,rnd,0.01,3,RND (beta=0.01)
50000,0.0,0.0,200.0,0.005,rnd,0.01,3,RND (beta=0.01)
60000,0.0,0.0,200.0,0.04,rnd,0.01,3,RND (beta=0.01)
70000,0.23335,0.25,153.7,0.0159401431359791,rnd,0.01,3,RND (beta=0.01)
80000,0.0,0.0,200.0,0.005,rnd,0.01,3,RND (beta=0.01)
90000,0.937,1.0,14.0,0.0714285714285714,rnd,0.01,3,RND (beta=0.01)
100000,0.0,0.0,200.0,0.005,rnd,0.01,3,RND (beta=0.01)
0,0.0,0.0,200.0,0.005,rnd,0.01,4,RND (beta=0.01)
10000,0.0,0.0,200.0,0.127,rnd,0.01,4,RND (beta=0.01)
20000,0.0,0.0,200.0,0.48075,rnd,0.01,4,RND (beta=0.01)
30000,0.0,0.0,200.0,0.038,rnd,0.01,4,RND (beta=0.01)
40000,0.0,0.0,200.0,0.027,rnd,0.01,4,RND (beta=0.01)
50000,0.0,0.0,200.0,0.01,rnd,0.01,4,RND (beta=0.01)
60000,0.0,0.0,200.0,0.01,rnd,0.01,4,RND (beta=0.01)
70000,0.0,0.0,200.0,0.01,rnd,0.01,4,RND (beta=0.01)
80000,0.0,0.0,200.0,0.01,rnd,0.01,4,RND (beta=0.01)
90000,0.0,0.0,200.0,0.012,rnd,0.01,4,RND (beta=0.01)
100000,0.0,0.0,200.0,0.077,rnd,0.01,4,RND (beta=0.01)
0,0.0,0.0,200.0,0.9125,rnd,0.05,0,RND (beta=0.05)
10000,0.0,0.0,200.0,0.0415,rnd,0.05,0,RND (beta=0.05)
20000,0.0,0.0,200.0,0.005,rnd,0.05,0,RND (beta=0.05)
30000,0.0,0.0,200.0,0.2905,rnd,0.05,0,RND (beta=0.05)
40000,0.0,0.0,200.0,0.05825,rnd,0.05,0,RND (beta=0.05)
50000,0.0,0.0,200.0,0.25575,rnd,0.05,0,RND (beta=0.05)
60000,0.0,0.0,200.0,0.0275,rnd,0.05,0,RND (beta=0.05)
70000,0.0,0.0,200.0,0.005,rnd,0.05,0,RND (beta=0.05)
80000,0.0,0.0,200.0,0.005,rnd,0.05,0,RND (beta=0.05)
90000,0.0,0.0,200.0,0.024,rnd,0.05,0,RND (beta=0.05)
100000,0.0,0.0,200.0,0.1255,rnd,0.05,0,RND (beta=0.05)
0,0.0,0.0,200.0,1.0,rnd,0.05,1,RND (beta=0.05)
10000,0.0,0.0,200.0,0.0135,rnd,0.05,1,RND (beta=0.05)
20000,0.0,0.0,200.0,0.054,rnd,0.05,1,RND (beta=0.05)
30000,0.0,0.0,200.0,0.05375,rnd,0.05,1,RND (beta=0.05)
40000,0.0,0.0,200.0,0.10775,rnd,0.05,1,RND (beta=0.05)
50000,0.0,0.0,200.0,0.092,rnd,0.05,1,RND (beta=0.05)
60000,0.0,0.0,200.0,0.027,rnd,0.05,1,RND (beta=0.05)
70000,0.0,0.0,200.0,0.0165,rnd,0.05,1,RND (beta=0.05)
80000,0.0,0.0,200.0,0.01425,rnd,0.05,1,RND (beta=0.05)
90000,0.0,0.0,200.0,0.02275,rnd,0.05,1,RND (beta=0.05)
100000,0.0,0.0,200.0,0.009,rnd,0.05,1,RND (beta=0.05)
0,0.0,0.0,200.0,0.005,rnd,0.05,2,RND (beta=0.05)
10000,0.0,0.0,200.0,0.01875,rnd,0.05,2,RND (beta=0.05)
20000,0.0,0.0,200.0,0.005,rnd,0.05,2,RND (beta=0.05)
30000,0.0,0.0,200.0,0.10875,rnd,0.05,2,RND (beta=0.05)
40000,0.0,0.0,200.0,0.35125,rnd,0.05,2,RND (beta=0.05)
50000,0.0,0.0,200.0,0.0605,rnd,0.05,2,RND (beta=0.05)
60000,0.0,0.0,200.0,0.787,rnd,0.05,2,RND (beta=0.05)
70000,0.0,0.0,200.0,0.299,rnd,0.05,2,RND (beta=0.05)
80000,0.0,0.0,200.0,0.0135,rnd,0.05,2,RND (beta=0.05)
90000,0.0,0.0,200.0,0.01,rnd,0.05,2,RND (beta=0.05)
100000,0.0,0.0,200.0,0.2085,rnd,0.05,2,RND (beta=0.05)
0,0.0,0.0,200.0,0.005,rnd,0.05,3,RND (beta=0.05)
10000,0.0,0.0,200.0,0.025,rnd,0.05,3,RND (beta=0.05)
20000,0.0,0.0,200.0,0.8715,rnd,0.05,3,RND (beta=0.05)
30000,0.0,0.0,200.0,0.0055,rnd,0.05,3,RND (beta=0.05)
40000,0.0,0.0,200.0,0.1345,rnd,0.05,3,RND (beta=0.05)
50000,0.0,0.0,200.0,0.478,rnd,0.05,3,RND (beta=0.05)
60000,0.0,0.0,200.0,0.08675,rnd,0.05,3,RND (beta=0.05)
70000,0.0,0.0,200.0,0.7635,rnd,0.05,3,RND (beta=0.05)
80000,0.0,0.0,200.0,0.6665,rnd,0.05,3,RND (beta=0.05)
90000,0.0,0.0,200.0,0.006,rnd,0.05,3,RND (beta=0.05)
100000,0.0,0.0,200.0,0.022,rnd,0.05,3,RND (beta=0.05)
0,0.0,0.0,200.0,0.005,rnd,0.05,4,RND (beta=0.05)
10000,0.0,0.0,200.0,0.0205,rnd,0.05,4,RND (beta=0.05)
20000,0.0,0.0,200.0,0.2565,rnd,0.05,4,RND (beta=0.05)
